,location,rating,number_of_reviews,date,trip type
377,,,,2015년 3월,가족과 여행함
378,,,,2015년 1월,가족과 여행함
379,,,,2015년 8월,가족과 여행함
380,,,,2015년 9월,가족과 여행함
381,,,,2015년 8월,출장 목적으로 여행함
382,,,,2015년 8월,가족과 여행함
383,,,,2015년 9월,가족과 여행함
384,,,,2014년 12월,나 혼자 여행함
385,,,,2015년 4월,나 혼자 여행함
386,,,,2015년 11월,출장 목적으로 여행함
387,,,,2015년 8월,가족과 여행함
388,,,,2015년 2월,친구와 여행함
389,,,,2015년 2월,가족과 여행함
390,,,,2015년 11월,나 혼자 여행함
391,,,,2015년 11월,가족과 여행함
392,,,,2015년 3월,커플로 여행함
393,,,,2015년 6월,커플로 여행함
394,,,,2015년 8월,가족과 여행함
395,,,,2015년 11월,가족과 여행함
396,,,,2015년 3월,가족과 여행함
397,,,,2015년 11월,커플로 여행함
398,,,,2015년 10월,가족과 여행함
399,,,,2015년 9월,친구와 여행함
400,,,,2015년 10월,가족과 여행함
401,,,,2015년 4월,가족과 여행함
402,,,,2015년 9월,커플로 여행함
403,,,,2015년 10월,커플로 여행함
404,,,,2015년 3월,가족과 여행함
405,,,,2015년 8월,친구와 여행함
406,,,,2015년 1월,가족과 여행함
407,,,,2015년 11월,가족과 여행함
408,,,,2015년 10월,나 혼자 여행함
409,,,,2015년 1월,가족과 여행함
410,,,,2015년 8월,가족과 여행함
411,,,,2015년 11월,가족과 여행함
412,,,,2014년 11월,커플로 여행함
413,,,,2015년 5월,가족과 여행함
414,,,,2015년 8월,가족과 여행함
415,,,,2015년 9월,친구와 여행함
416,,,,2015년 7월,커플로 여행함
417,,,,2015년 6월,친구와 여행함
418,,,,2015년 10월,나 혼자 여행함
419,,,,2015년 10월,가족과 여행함
420,,,,2015년 10월,커플로 여행함
421,,,,2014년 12월,나 혼자 여행함
422,,,,2015년 10월,가족과 여행함
423,,,,2015년 6월,가족과 여행함
424,,,,2015년 6월,가족과 여행함
425,,,,2015년 5월,가족과 여행함
426,,,,2015년 8월,커플로 여행함
427,,,,2015년 10월,가족과 여행함
428,,,,2015년 2월,친구와 여행함
429,,,,2015년 5월,가족과 여행함
430,,,,2014년 12월,가족과 여행함
431,,,,2015년 5월,가족과 여행함
432,,,,2015년 3월,가족과 여행함
433,,,,2014년 11월,나 혼자 여행함
434,,,,2015년 8월,커플로 여행함
435,,,,2015년 5월,나 혼자 여행함
436,,,,2015년 8월,커플로 여행함
437,,,,2015년 2월,커플로 여행함
438,,,,2014년 12월,나 혼자 여행함
439,,,,2015년 9월,커플로 여행함
440,,,,2015년 5월,나 혼자 여행함
441,,,,2015년 9월,가족과 여행함
442,,,,2015년 9월,커플로 여행함
443,,,,2015년 6월,친구와 여행함
444,,,,2015년 7월,친구와 여행함
445,,,,2015년 1월,커플로 여행함
446,,,,2015년 5월,커플로 여행함
447,,,,2015년 8월,가족과 여행함
448,,,,2015년 9월,커플로 여행함
449,,,,2015년 8월,출장 목적으로 여행함
450,,,,2015년 6월,커플로 여행함
451,,,,2014년 9월,친구와 여행함
452,,,,2015년 7월,커플로 여행함
453,,,,2015년 2월,커플로 여행함
454,,,,2015년 7월,커플로 여행함
455,,,,2015년 8월,커플로 여행함
456,,,,2015년 2월,커플로 여행함
457,,,,2015년 7월,커플로 여행함
458,,,,2014년 9월,커플로 여행함
459,,,,2015년 7월,친구와 여행함
460,,,,2015년 1월,가족과 여행함
461,,,,2015년 7월,나 혼자 여행함
462,,,,2014년 11월,친구와 여행함
463,,,,2015년 7월,친구와 여행함
464,,,,2015년 7월,가족과 여행함
465,,,,2015년 7월,친구와 여행함
466,,,,2014년 7월,커플로 여행함
467,,,,2015년 6월,친구와 여행함
468,,,,2015년 3월,커플로 여행함
469,,,,2015년 3월,가족과 여행함
470,,,,2014년 6월,나 혼자 여행함
471,,,,2014년 9월,나 혼자 여행함
472,,,,2013년 10월,친구와 여행함
473,,,,2014년 4월,가족과 여행함
474,,,,2014년 7월,가족과 여행함
475,,,,2014년 6월,가족과 여행함
476,,,,2013년 9월,가족과 여행함
477,,,,2013년 11월,가족과 여행함
478,,,,2013년 11월,가족과 여행함
479,,,,2013년 10월,커플로 여행함
480,,,,2013년 11월,가족과 여행함
481,,,,2013년 3월,가족과 여행함
482,,,,2012년 8월,커플로 여행함
483,,,,2012년 3월,가족과 여행함
484,,,,2017년 8월,친구와 여행함
485,,,,2017년 7월,커플로 여행함
486,,,,2017년 7월,친구와 여행함
487,,,,2017년 7월,가족과 여행함
488,,,,2017년 7월,가족과 여행함
489,,,,2016년 8월,친구와 여행함
490,,,,2016년 12월,커플로 여행함
491,,,,2017년 7월,가족과 여행함
492,,,,2017년 7월,가족과 여행함
493,,,,2017년 4월,친구와 여행함
494,,,,2017년 7월,친구와 여행함
495,,,,2017년 7월,가족과 여행함
496,,,,2017년 6월,커플로 여행함
497,,,,2016년 10월,가족과 여행함
498,,,,2017년 7월,친구와 여행함
499,,,,2017년 7월,친구와 여행함
500,,,,2016년 12월,친구와 여행함
501,,,,2017년 6월,가족과 여행함
502,,,,2017년 6월,커플로 여행함
503,,,,2017년 6월,친구와 여행함
504,,,,2017년 5월,가족과 여행함
505,,,,2016년 10월,가족과 여행함
506,,,,2017년 5월,친구와 여행함
507,,,,2017년 6월,친구와 여행함
508,,,,2017년 5월,친구와 여행함
509,,,,2017년 5월,커플로 여행함
510,,,,2017년 5월,가족과 여행함
511,,,,2017년 5월,가족과 여행함
512,,,,2017년 5월,친구와 여행함
513,,,,2017년 5월,커플로 여행함
514,,,,2017년 5월,나 혼자 여행함
515,,,,2017년 5월,가족과 여행함
516,,,,2017년 5월,나 혼자 여행함
517,,,,2017년 5월,친구와 여행함
518,,,,2017년 4월,친구와 여행함
519,,,,2017년 5월,커플로 여행함
520,,,,2017년 5월,커플로 여행함
521,,,,2017년 5월,출장 목적으로 여행함
522,,,,2017년 4월,커플로 여행함
523,,,,2017년 4월,가족과 여행함
524,,,,2017년 4월,커플로 여행함
525,,,,2017년 4월,커플로 여행함
526,,,,2017년 3월,친구와 여행함
527,,,,2017년 3월,가족과 여행함
528,,,,2016년 12월,친구와 여행함
529,,,,2017년 2월,커플로 여행함
530,,,,2016년 10월,친구와 여행함
531,,,,2017년 2월,커플로 여행함
532,,,,2016년 4월,친구와 여행함
533,,,,2017년 2월,나 혼자 여행함
534,,,,2017년 3월,나 혼자 여행함
535,,,,2016년 11월,가족과 여행함
536,,,,2016년 9월,가족과 여행함
537,,,,2016년 5월,친구와 여행함
538,,,,2016년 4월,커플로 여행함
539,,,,2016년 11월,친구와 여행함
540,,,,2016년 12월,커플로 여행함
541,,,,2016년 4월,친구와 여행함
542,,,,2016년 10월,친구와 여행함
543,,,,2016년 4월,가족과 여행함
544,,,,2016년 12월,커플로 여행함
545,,,,2016년 6월,친구와 여행함
546,,,,2016년 4월,나 혼자 여행함
547,,,,2016년 8월,커플로 여행함
548,,,,2016년 12월,친구와 여행함
549,,,,2016년 12월,나 혼자 여행함
550,,,,2016년 12월,친구와 여행함
551,,,,2016년 12월,커플로 여행함
552,,,,2016년 12월,친구와 여행함
553,,,,2016년 12월,가족과 여행함
554,,,,2016년 12월,가족과 여행함
555,,,,2016년 12월,커플로 여행함
556,,,,2016년 12월,친구와 여행함
557,,,,2016년 11월,나 혼자 여행함
558,,,,2016년 11월,커플로 여행함
559,,,,2016년 11월,친구와 여행함
560,,,,2016년 11월,친구와 여행함
561,,,,2016년 11월,친구와 여행함
562,,,,2015년 12월,커플로 여행함
563,,,,2016년 11월,친구와 여행함
564,,,,2016년 11월,나 혼자 여행함
565,,,,2016년 11월,친구와 여행함
566,,,,2016년 11월,가족과 여행함
567,,,,2016년 11월,가족과 여행함
568,,,,2016년 11월,가족과 여행함
569,,,,2016년 5월,출장 목적으로 여행함
570,,,,2016년 11월,친구와 여행함
571,,,,2016년 11월,커플로 여행함
572,,,,2016년 10월,커플로 여행함
573,,,,2016년 6월,친구와 여행함
574,,,,2016년 10월,가족과 여행함
575,,,,2016년 10월,커플로 여행함
576,,,,2016년 10월,커플로 여행함
577,,,,2016년 8월,가족과 여행함
578,,,,2016년 5월,나 혼자 여행함
579,,,,2016년 10월,나 혼자 여행함
580,,,,2016년 10월,나 혼자 여행함
581,,,,2016년 8월,출장 목적으로 여행함
582,,,,2016년 10월,가족과 여행함
583,,,,2016년 10월,친구와 여행함
584,,,,2016년 10월,커플로 여행함
585,,,,2016년 10월,가족과 여행함
586,,,,2016년 5월,가족과 여행함
587,,,,2016년 10월,가족과 여행함
588,,,,2016년 10월,친구와 여행함
589,,,,2016년 9월,가족과 여행함
590,,,,2016년 10월,커플로 여행함
591,,,,2016년 10월,친구와 여행함
592,,,,2016년 10월,나 혼자 여행함
593,,,,2016년 10월,커플로 여행함
594,,,,2016년 9월,가족과 여행함
595,,,,2016년 10월,친구와 여행함
596,,,,2016년 10월,가족과 여행함
597,,,,2015년 11월,출장 목적으로 여행함
598,,,,2016년 9월,가족과 여행함
599,,,,2016년 9월,친구와 여행함
600,,,,2016년 9월,친구와 여행함
601,,,,2016년 9월,커플로 여행함
602,,,,2016년 9월,친구와 여행함
603,,,,2016년 9월,친구와 여행함
604,,,,2016년 9월,친구와 여행함
605,,,,2016년 9월,친구와 여행함
606,,,,2016년 3월,커플로 여행함
607,,,,2016년 9월,친구와 여행함
608,,,,2016년 8월,커플로 여행함
609,,,,2016년 8월,가족과 여행함
610,,,,2016년 8월,가족과 여행함
611,,,,2016년 8월,커플로 여행함
612,,,,2016년 8월,가족과 여행함
613,,,,2016년 8월,친구와 여행함
614,,,,2016년 8월,친구와 여행함
615,,,,2016년 5월,가족과 여행함
616,,,,2016년 8월,나 혼자 여행함
617,,,,2016년 7월,친구와 여행함
618,,,,2016년 3월,커플로 여행함
619,,,,2016년 4월,커플로 여행함
620,,,,2016년 7월,커플로 여행함
621,,,,2016년 7월,친구와 여행함
622,,,,2016년 7월,친구와 여행함
623,,,,2016년 7월,나 혼자 여행함
624,,,,2015년 11월,가족과 여행함
625,,,,2015년 11월,친구와 여행함
626,,,,2016년 7월,친구와 여행함
627,,,,2015년 10월,나 혼자 여행함
628,,,,2016년 5월,가족과 여행함
629,,,,2016년 7월,나 혼자 여행함
630,,,,2016년 7월,커플로 여행함
631,,,,2016년 5월,커플로 여행함
632,,,,2016년 6월,커플로 여행함
633,,,,2015년 9월,커플로 여행함
634,,,,2016년 5월,커플로 여행함
635,,,,2016년 6월,커플로 여행함
636,,,,2016년 6월,나 혼자 여행함
637,,,,2016년 5월,커플로 여행함
638,,,,2016년 5월,친구와 여행함
